59,17,469,4,81,"run@39-119@C/run.c","C/run.c","run","run( initializer init , algorithm code , char * name , int argc , char * argv [ ])",39,119
62,17,476,4,85,"run_multi@125-209@C/run.c","C/run.c","run_multi","run_multi( mp_initializer init , mp_algorithm code , char * name , int argc , char * argv [ ])",125,209
70,18,537,4,93,"run_approx@211-303@C/run.c","C/run.c","run_approx","run_approx( am_initializer init , am_algorithm code , char * name , int argc , char * argv [ ])",211,303
4,2,53,3,4,"calc_bad_char@21-24@C++/boyer_moore.cpp","C++/boyer_moore.cpp","calc_bad_char","calc_bad_char( std :: string const & pat , int m , std :: vector<int> & bad_char)",21,24
18,7,152,3,19,"calc_suffixes@29-47@C++/boyer_moore.cpp","C++/boyer_moore.cpp","calc_suffixes","calc_suffixes( std :: string const & pat , int m , std :: vector<int> & suffix_list)",29,47
17,8,175,3,19,"calc_good_suffix@52-70@C++/boyer_moore.cpp","C++/boyer_moore.cpp","calc_good_suffix","calc_good_suffix( std :: string const & pat , int m , std :: vector<int> & good_suffix)",52,70
13,1,107,1,18,"init_boyer_moore@72-89@C++/boyer_moore.cpp","C++/boyer_moore.cpp","init_boyer_moore","init_boyer_moore( std :: string const & pattern)",72,89
22,5,209,2,29,"boyer_moore@95-123@C++/boyer_moore.cpp","C++/boyer_moore.cpp","boyer_moore","boyer_moore( std :: vector<PatternData> const & pat_data , std :: string const & sequence)",95,123
5,1,34,1,6,"main@130-135@C++/boyer_moore.cpp","C++/boyer_moore.cpp","main","main( int argc , char * argv [ ])",130,135
17,3,145,4,25,"enter_pattern@38-62@C++/aho_corasick.cpp","C++/aho_corasick.cpp","enter_pattern","enter_pattern( std :: string const & pat , int idx , std :: vector<std::vector<int>> & goto_fn , std :: vector<std::set<int>> & output_fn)",38,62
14,5,182,4,28,"build_goto@67-94@C++/aho_corasick.cpp","C++/aho_corasick.cpp","build_goto","build_goto( std :: vector<std::string> const & pats , int num_pats , std :: vector<std::vector<int>> & goto_fn , std :: vector<std::set<int>> & output_fn)",67,94
30,7,258,2,45,"build_failure@99-143@C++/aho_corasick.cpp","C++/aho_corasick.cpp","build_failure","build_failure( std :: vector<std::vector<int>> const & goto_fn , std :: vector<std::set<int>> & output_fn)",99,143
14,1,123,1,18,"init_aho_corasick@146-163@C++/aho_corasick.cpp","C++/aho_corasick.cpp","init_aho_corasick","init_aho_corasick( std :: vector<std::string> const & patterns_data)",146,163
